run_id,best_config,best_value,runtime
0,"{'name': 'sleeveless shirtdress', 'variation': 'Pink', 'dIY': 'No', 'color 1': 'Pink', 'color 2': 'Pink', 'size': '1x1', 'miles_price': 'Able Sisters', 'source': ""Available from either Mable's temporary shop or Able Sisters shop"", 'source Notes': 'Summer', 'seasonal Availability': 'No', 'mannequin Piece': '1.0.0', 'version': 'Simple', 'style': 'everyday; vacation', 'label Themes': 'Yes', 'type': 'For sale', 'villager Equippable': 'A-line', 'catalog': 'N', 'filename': 'TopsTexOnepieceAlineNShirt2', 'internal ID': 8952.0, 'unique Entry ID': 'MtRurCg9umRtEvgXH'}",0.7048874946676293,1.7846150398254395
1,"{'name': 'dazed dress', 'variation': 'Pink', 'dIY': 'No', 'color 1': 'Pink', 'color 2': 'Purple', 'size': '1x1', 'miles_price': 'Able Sisters', 'source': ""Available from either Mable's temporary shop or Able Sisters shop"", 'source Notes': 'Summer', 'seasonal Availability': 'No', 'mannequin Piece': '1.0.0', 'version': 'Cute', 'style': 'everyday; fairy tale', 'label Themes': 'Yes', 'type': 'For sale', 'villager Equippable': 'A-line', 'catalog': 'N', 'filename': 'TopsTexOnepieceAlineNYumeiro0', 'internal ID': 2783.0, 'unique Entry ID': 'oK6iym4jH45duxFtC'}",0.7048874946676293,1.7593348026275635
2,"{'name': 'dazed dress', 'variation': 'Green', 'dIY': 'No', 'color 1': 'Green', 'color 2': 'Yellow', 'size': '1x1', 'miles_price': 'Able Sisters', 'source': ""Available from either Mable's temporary shop or Able Sisters shop"", 'source Notes': 'Summer', 'seasonal Availability': 'No', 'mannequin Piece': '1.0.0', 'version': 'Cute', 'style': 'everyday; fairy tale', 'label Themes': 'Yes', 'type': 'For sale', 'villager Equippable': 'A-line', 'catalog': 'N', 'filename': 'TopsTexOnepieceAlineNYumeiro2', 'internal ID': 8301.0, 'unique Entry ID': 'EeveRpwDuWDL24dms'}",0.7048874946676293,1.7455291748046875
3,"{'name': 'dazed dress', 'variation': 'Green', 'dIY': 'No', 'color 1': 'Green', 'color 2': 'Yellow', 'size': '1x1', 'miles_price': 'Able Sisters', 'source': ""Available from either Mable's temporary shop or Able Sisters shop"", 'source Notes': 'Summer', 'seasonal Availability': 'No', 'mannequin Piece': '1.0.0', 'version': 'Cute', 'style': 'everyday; fairy tale', 'label Themes': 'Yes', 'type': 'For sale', 'villager Equippable': 'A-line', 'catalog': 'N', 'filename': 'TopsTexOnepieceAlineNYumeiro2', 'internal ID': 8301.0, 'unique Entry ID': 'EeveRpwDuWDL24dms'}",0.7048874946676293,1.9925048351287842
4,"{'name': 'bold muumuu', 'variation': 'Pink', 'dIY': 'No', 'color 1': 'Pink', 'color 2': 'Light blue', 'size': '1x1', 'miles_price': 'Able Sisters', 'source': ""Available from either Mable's temporary shop or Able Sisters shop"", 'source Notes': 'Summer', 'seasonal Availability': 'No', 'mannequin Piece': '1.0.0', 'version': 'Active', 'style': 'comfy; vacation', 'label Themes': 'Yes', 'type': 'For sale', 'villager Equippable': 'A-line', 'catalog': 'N', 'filename': 'TopsTexOnepieceAlineNPolynesia1', 'internal ID': 8604.0, 'unique Entry ID': '6QhkL2fSo3kgqeGvG'}",0.7048874946676293,1.7612357139587402
5,"{'name': 'dazed dress', 'variation': 'Pink', 'dIY': 'No', 'color 1': 'Pink', 'color 2': 'Purple', 'size': '1x1', 'miles_price': 'Able Sisters', 'source': ""Available from either Mable's temporary shop or Able Sisters shop"", 'source Notes': 'Summer', 'seasonal Availability': 'No', 'mannequin Piece': '1.0.0', 'version': 'Cute', 'style': 'everyday; fairy tale', 'label Themes': 'Yes', 'type': 'For sale', 'villager Equippable': 'A-line', 'catalog': 'N', 'filename': 'TopsTexOnepieceAlineNYumeiro0', 'internal ID': 2783.0, 'unique Entry ID': 'oK6iym4jH45duxFtC'}",0.7048874946676293,1.7698025703430176
6,"{'name': 'gold armor', 'variation': 'Gold', 'dIY': 'Yes', 'color 1': 'Yellow', 'color 2': 'Yellow', 'size': '1x1', 'miles_price': 'Crafting', 'source': '?', 'source Notes': 'All Year', 'seasonal Availability': 'No', 'mannequin Piece': '1.0.0', 'version': 'Gorgeous', 'style': 'fairy tale; goth', 'label Themes': 'Yes', 'type': 'Not for sale', 'villager Equippable': 'Overall', 'catalog': 'L', 'filename': 'TopsTexOnepieceOverallLPlatearmorGold', 'internal ID': 4590.0, 'unique Entry ID': '8ioR3SX42LC2J8ynE'}",0.06653793491877116,1.7273104190826416
7,"{'name': 'parka and shirtdress', 'variation': 'Red', 'dIY': 'No', 'color 1': 'Black', 'color 2': 'Red', 'size': '1x1', 'miles_price': 'Able Sisters', 'source': ""Available from either Mable's temporary shop or Able Sisters shop"", 'source Notes': 'All Year', 'seasonal Availability': 'No', 'mannequin Piece': '1.0.0', 'version': 'Cool', 'style': 'everyday; comfy', 'label Themes': 'Yes', 'type': 'For sale', 'villager Equippable': 'Rib', 'catalog': 'L', 'filename': 'TopsTexOnepieceRibLParkershirt2', 'internal ID': 7993.0, 'unique Entry ID': 'neCr4qDK6ueGwttNT'}",0.7048874946676293,1.7860894203186035
8,"{'name': 'parka and shirtdress', 'variation': 'Red', 'dIY': 'No', 'color 1': 'Black', 'color 2': 'Red', 'size': '1x1', 'miles_price': 'Able Sisters', 'source': ""Available from either Mable's temporary shop or Able Sisters shop"", 'source Notes': 'All Year', 'seasonal Availability': 'No', 'mannequin Piece': '1.0.0', 'version': 'Cool', 'style': 'everyday; comfy', 'label Themes': 'Yes', 'type': 'For sale', 'villager Equippable': 'Rib', 'catalog': 'L', 'filename': 'TopsTexOnepieceRibLParkershirt2', 'internal ID': 7993.0, 'unique Entry ID': 'neCr4qDK6ueGwttNT'}",0.7048874946676293,1.740281343460083
9,"{'name': 'pintuck-pleated dress', 'variation': 'Green', 'dIY': 'No', 'color 1': 'Green', 'color 2': 'Green', 'size': '1x1', 'miles_price': 'Able Sisters', 'source': ""Available from either Mable's temporary shop or Able Sisters shop"", 'source Notes': 'Summer', 'seasonal Availability': 'No', 'mannequin Piece': '1.0.0', 'version': 'Cute', 'style': 'everyday; fairy tale', 'label Themes': 'Yes', 'type': 'For sale', 'villager Equippable': 'Balloon', 'catalog': 'H', 'filename': 'TopsTexOnepieceBalloonHDolly2', 'internal ID': 8886.0, 'unique Entry ID': 'kK5Lv2DCMPhehG7rc'}",0.7048874946676293,1.757204532623291
