D,#R,#X,#Y,B4.mu,B4.lo,B4.sd,2B.mu,DEHB-6,DEHB-6_sd,DEHB-6_time,DEHB-12,DEHB-12_sd,DEHB-12_time,DEHB-18,DEHB-18_sd,DEHB-18_time,DEHB-24,DEHB-24_sd,DEHB-24_time,DEHB-50,DEHB-50_sd,DEHB-50_time,DEHB-100,DEHB-100_sd,DEHB-100_time,DEHB-200,DEHB-200_sd,DEHB-200_time,NSGAIII-6,NSGAIII-6_sd,NSGAIII-6_time,NSGAIII-12,NSGAIII-12_sd,NSGAIII-12_time,NSGAIII-18,NSGAIII-18_sd,NSGAIII-18_time,NSGAIII-24,NSGAIII-24_sd,NSGAIII-24_time,NSGAIII-50,NSGAIII-50_sd,NSGAIII-50_time,NSGAIII-100,NSGAIII-100_sd,NSGAIII-100_time,NSGAIII-200,NSGAIII-200_sd,NSGAIII-200_time,SMAC-6,SMAC-6_sd,SMAC-6_time,SMAC-12,SMAC-12_sd,SMAC-12_time,SMAC-18,SMAC-18_sd,SMAC-18_time,SMAC-24,SMAC-24_sd,SMAC-24_time,SMAC-50,SMAC-50_sd,SMAC-50_time,SMAC-100,SMAC-100_sd,SMAC-100_time,SMAC-200,SMAC-200_sd,SMAC-200_time,TPE-6,TPE-6_sd,TPE-6_time,TPE-12,TPE-12_sd,TPE-12_time,TPE-18,TPE-18_sd,TPE-18_time,TPE-24,TPE-24_sd,TPE-24_time,TPE-50,TPE-50_sd,TPE-50_time,TPE-100,TPE-100_sd,TPE-100_time,TPE-200,TPE-200_sd,TPE-200_time,ACT-6,ACT-6_sd,ACT-6_time,ACT-12,ACT-12_sd,ACT-12_time,ACT-18,ACT-18_sd,ACT-18_time,ACT-24,ACT-24_sd,ACT-24_time,ACT-50,ACT-50_sd,ACT-50_time,ACT-100,ACT-100_sd,ACT-100_time,ACT-200,ACT-200_sd,ACT-200_time,EZR-6,EZR-6_sd,EZR-6_time,EZR-12,EZR-12_sd,EZR-12_time,EZR-18,EZR-18_sd,EZR-18_time,EZR-24,EZR-24_sd,EZR-24_time,EZR-50,EZR-50_sd,EZR-50_time,EZR-100,EZR-100_sd,EZR-100_time,EZR-200,EZR-200_sd,EZR-200_time,KM++-6,KM++-6_sd,KM++-6_time,RAND-6,RAND-6_sd,RAND-6_time,KM++-12,KM++-12_sd,KM++-12_time,RAND-12,RAND-12_sd,RAND-12_time,KM++-18,KM++-18_sd,KM++-18_time,RAND-18,RAND-18_sd,RAND-18_time,KM++-24,KM++-24_sd,KM++-24_time,RAND-24,RAND-24_sd,RAND-24_time,KM++-50,KM++-50_sd,KM++-50_time,RAND-50,RAND-50_sd,RAND-50_time,KM++-100,KM++-100_sd,KM++-100_time,RAND-100,RAND-100_sd,RAND-100_time,KM++-200,KM++-200_sd,KM++-200_time,RAND-200,RAND-200_sd,RAND-200_time,Before,Before_sd, File
95, 259, 4, 2, 71, 23, 18, 25, 51 c, 16, 142.05, 48 c, 15, 163.97, 44 c, 13, 167.33, 42 b, 12, 148.09, 30 a, 10, 285.38, 23 a, 0, 347.28, 23 a, 0, 573.45, 46 c, 13, 7.87, 41 b, 10, 10.64, 36 b, 9, 14.75, 35 b, 9, 24.24, 30 a, 8, 42.47, 25 a, 5, 84.65, 23 a, 0, 170.26, 46 c, 12, 1372.91, 33 b, 11, 3160.70, 26 a, 7, 4673.76, 23 a, 3, 6253.33, 23 a, 0, 9489.78, 23 a, 0, 14443.21, 23 a, 0, 42983.93, 46 c, 13, 21.97, 39 b, 10, 18.44, 33 b, 10, 69.50, 33 b, 10, 88.89, 27 a, 8, 234.39, 25 a, 6, 502.10, 23 a, 0, 777.92, 40 b, 11, 8.31, 27 a, 6, 14.52, 25 a, 5, 18.55, 24 a, 5, 25.08, 24 a, 5, 39.43, 24 a, 5, 73.73, 23 a, 0, 137.53, 49 c, 9, 13.05, 38 b, 12, 7.58, 36 b, 10, 3.94, 36 b, 7, 16.87, 27 a, 8, 20.48, 23 a, 2, 26.83, 23 a, 0, 77.78, 44 c, 16, 1.43, 45 c, 15, 0.03, 40 b, 13, 3.13, 39 b, 11, 0.03, 36 b, 11, 3.39, 39 b, 10, 0.05, 31 b, 8, 3.69, 36 b, 8, 0.06, 29 a, 7, 10.70, 30 a, 7, 0.15, 25 a, 4, 38.92, 25 a, 5, 0.51, 23 a, 0, 149.26, 23 a, 0, 0.52, 71 d, 18, SS-H.csv
90, 196, 3, 2, 55, 32, 10, 34, 43 b, 4, 141.35, 42 b, 4, 155.18, 40 b, 4, 195.41, 38 b, 3, 256.95, 36 a, 2, 307.79, 34 a, 2, 441.46, 33 a, 2, 687.00, 44 c, 8, 5.26, 40 b, 5, 10.16, 38 b, 4, 14.30, 36 a, 3, 26.17, 35 a, 2, 38.04, 34 a, 2, 102.17, 32 a, 2, 150.39, 41 b, 6, 1804.09, 40 b, 5, 2290.65, 38 b, 5, 3086.39, 35 a, 4, 5050.35, 33 a, 2, 9685.41, 32 a, 1, 17336.33, 32 a, 0, 45025.94, 44 c, 8, 19.02, 40 b, 5, 18.04, 38 b, 4, 49.53, 37 a, 3, 119.70, 35 a, 3, 164.95, 34 a, 2, 398.44, 34 a, 2, 868.39, 45 c, 5, 12.72, 40 b, 1, 11.99, 39 b, 3, 16.79, 36 a, 4, 19.88, 33 a, 3, 35.85, 32 a, 1, 65.83, 32 a, 0, 104.73, 46 c, 4, 6.24, 43 b, 6, 19.18, 42 b, 4, 10.49, 41 b, 4, 21.01, 36 a, 5, 13.58, 32 a, 1, 22.34, 32 a, 0, 59.92, 40 b, 6, 1.00, 41 b, 6, 0.02, 40 b, 5, 2.37, 39 b, 4, 0.04, 36 a, 4, 2.70, 39 b, 5, 0.05, 36 a, 4, 4.09, 36 a, 4, 0.07, 32 a, 1, 13.14, 35 a, 2, 0.18, 32 a, 0, 46.53, 33 a, 2, 0.25, 32 a, 0, 146.45, 32 a, 0, 0.51, 55 d, 10, SS-D.csv
90, 350, 20, 1, 36, 0, 20, 4, 19 b, 15, 189.26, 15 b, 13, 237.08, 11 b, 11, 197.53, 9 a, 11, 173.99, 4 a, 8, 393.28, 1 a, 4, 597.46, 1 a, 3, 987.63, 22 c, 12, 10.53, 13 b, 7, 22.13, 9 a, 8, 34.50, 7 a, 6, 68.07, 2 a, 4, 138.89, 0 a, 0, 194.36, 0 a, 0, 394.78, 19 b, 11, 1565.96, 6 a, 9, 2991.66, 5 a, 7, 4996.86, 4 a, 6, 5826.33, 1 a, 2, 11229.81, 0 a, 0, 16574.52, 0 a, 0, 22596.39, 22 c, 12, 42.36, 12 b, 5, 40.59, 7 a, 6, 87.85, 4 a, 5, 97.79, 2 a, 4, 175.84, 1 a, 2, 418.41, 0 a, 0, 624.78, 13 b, 7, 17.42, 10 a, 6, 30.88, 9 a, 5, 50.46, 7 a, 6, 72.18, 5 a, 6, 140.65, 5 a, 6, 241.83, 1 a, 2, 579.43, 10 a, 8, 10.03, 5 a, 6, 18.63, 3 a, 5, 15.28, 2 a, 4, 18.83, 0 a, 0, 44.27, 0 a, 0, 105.27, 0 a, 0, 212.32, 11 b, 5, 4.51, 16 b, 11, 0.02, 9 a, 6, 12.71, 10 a, 7, 0.04, 6 a, 6, 14.03, 8 a, 7, 0.05, 5 a, 6, 9.11, 7 a, 5, 0.06, 3 a, 5, 19.41, 4 a, 6, 0.11, 1 a, 2, 43.81, 1 a, 3, 0.25, 0 a, 0, 144.11, 0 a, 0, 0.42, 36 d, 20, socks.csv
92, 192, 9, 1, 33, 0, 27, 3, 6 a, 4, 111.98, 6 a, 3, 125.70, 5 a, 3, 122.29, 4 a, 3, 187.33, 2 a, 2, 273.91, 1 a, 1, 397.37, 0 a, 0, 643.05, 8 a, 5, 7.42, 6 a, 4, 13.68, 4 a, 3, 22.85, 3 a, 3, 29.68, 2 a, 1, 54.92, 1 a, 1, 104.74, 0 a, 0, 209.27, 6 a, 5, 501.13, 3 a, 4, 1005.82, 2 a, 2, 1830.66, 2 a, 2, 2005.58, 0 a, 1, 8412.46, 0 a, 1, 26559.22, 0 a, 0, 67437.60, 8 a, 5, 48.01, 6 a, 4, 91.51, 5 a, 4, 132.55, 4 a, 4, 181.29, 2 a, 2, 364.25, 1 a, 1, 923.06, 1 a, 1, 1713.14, 6 a, 5, 13.85, 2 a, 2, 17.47, 1 a, 1, 21.63, 0 a, 1, 28.34, 0 a, 0, 49.65, 0 a, 0, 85.82, 0 a, 0, 124.14, 7 a, 5, 2.14, 3 a, 3, 10.60, 2 a, 2, 11.32, 1 a, 1, 12.49, 0 a, 1, 13.18, 0 a, 1, 27.08, 0 a, 0, 43.67, 9 a, 6, 1.10, 8 a, 5, 0.02, 5 a, 4, 2.27, 5 a, 3, 0.03, 3 a, 2, 2.38, 4 a, 3, 0.04, 2 a, 3, 3.37, 2 a, 1, 0.07, 1 a, 1, 11.01, 2 a, 2, 0.10, 0 a, 1, 36.50, 1 a, 1, 0.20, 0 a, 0, 156.91, 0 a, 1, 0.55, 33 b, 27, Apache_AllMeasurements.csv
93, 206, 3, 2, 56, 0, 19, 4, 37 c, 13, 186.39, 34 c, 11, 141.22, 30 c, 10, 183.00, 25 c, 8, 256.36, 21 b, 9, 257.32, 10 a, 9, 368.63, 3 a, 6, 644.84, 35 c, 11, 5.40, 30 c, 9, 10.79, 25 c, 7, 14.15, 24 c, 7, 18.17, 20 b, 8, 39.17, 13 b, 9, 79.85, 4 a, 4, 171.00, 33 c, 12, 1268.94, 26 c, 12, 1924.02, 13 b, 9, 3126.47, 13 b, 13, 4916.42, 2 a, 5, 9935.02, 0 a, 0, 14630.41, 0 a, 0, 27418.97, 35 c, 11, 32.23, 28 c, 9, 22.32, 23 b, 10, 83.37, 21 b, 10, 94.86, 16 b, 9, 257.08, 9 a, 9, 462.86, 4 a, 6, 939.17, 27 c, 13, 8.67, 13 b, 15, 13.00, 6 a, 10, 17.42, 5 a, 10, 21.80, 5 a, 10, 35.30, 2 a, 5, 68.73, 0 a, 0, 109.87, 30 c, 12, 8.61, 15 b, 10, 13.16, 7 a, 8, 13.86, 5 a, 8, 6.00, 0 a, 0, 16.75, 0 a, 0, 32.43, 0 a, 0, 82.16, 32 c, 10, 1.08, 33 c, 13, 0.02, 22 b, 11, 2.12, 20 b, 13, 0.03, 21 b, 8, 2.20, 18 b, 10, 0.05, 15 b, 9, 3.09, 15 b, 11, 0.06, 12 b, 9, 10.43, 12 b, 8, 0.13, 8 a, 7, 40.34, 8 a, 6, 0.44, 0 a, 1, 144.86, 3 a, 3, 0.51, 56 d, 19, SS-B.csv
97, 247, 22, 2, 84, 46, 10, 47, 89 g, 11, 157.66, 80 f, 6, 264.73, 80 f, 9, 319.94, 84 g, 10, 266.47, 89 h, 17, 403.53, 91 h, 7, 620.42, 78 e, 3, 1054.72, 78 e, 5, 29.03, 63 c, 13, 78.88, 75 e, 3, 115.44, 69 d, 11, 141.55, 64 c, 12, 304.93, 48 a, 5, 517.08, 47 a, 6, 1394.52, 70 d, 8, 5829.32, 74 e, 8, 1666.76, 73 e, 8, 1929.88, 66 d, 13, 2192.47, 60 c, 13, 3417.32, 59 c, 12, 4780.44, 51 b, 9, 6300.97, 76 e, 8, 49.00, 53 b, 12, 95.47, 66 d, 13, 168.04, 59 c, 13, 344.47, 48 a, 6, 1037.40, 47 a, 6, 1673.33, 71 d, 3, 5985.20, 79 e, 4, 13.82, 76 e, 9, 24.85, 69 d, 13, 34.93, 62 c, 12, 45.91, 51 b, 9, 94.19, 47 a, 3, 209.91, 46 a, 0, 354.18, 78 e, 11, 10.67, 68 d, 13, 15.33, 66 d, 11, 15.44, 61 c, 14, 14.70, 53 b, 9, 20.06, 46 a, 0, 37.46, 46 a, 0, 92.29, 71 d, 8, 2.24, 74 e, 4, 0.02, 68 d, 12, 5.38, 71 d, 7, 0.04, 68 d, 9, 4.92, 65 d, 11, 0.05, 65 c, 11, 5.60, 60 c, 12, 0.07, 63 c, 12, 11.42, 58 c, 12, 0.12, 56 c, 10, 40.82, 54 b, 10, 0.26, 48 a, 5, 143.11, 49 a, 7, 0.52, 84 g, 10, wallpaper.csv
96, 196, 3, 1, 27, 0, 20, 1, 5 a, 8, 252.01, 3 a, 6, 191.07, 2 a, 4, 180.72, 1 a, 4, 328.52, 0 a, 0, 339.25, 0 a, 0, 493.60, 0 a, 0, 687.30, 3 a, 6, 7.69, 1 a, 2, 9.83, 1 a, 1, 19.83, 0 a, 0, 17.66, 0 a, 0, 44.28, 0 a, 0, 86.40, 0 a, 0, 192.62, 8 b, 9, 1755.38, 2 a, 4, 2956.40, 0 a, 0, 3871.52, 0 a, 2, 4699.95, 0 a, 0, 6846.52, 0 a, 0, 14425.45, 0 a, 0, 30259.97, 3 a, 6, 27.02, 1 a, 2, 37.82, 0 a, 0, 73.89, 0 a, 0, 83.80, 0 a, 0, 206.49, 0 a, 0, 449.86, 0 a, 0, 758.71, 10 b, 11, 12.60, 1 a, 1, 12.74, 1 a, 0, 14.92, 1 a, 0, 20.60, 0 a, 0, 37.57, 0 a, 0, 79.53, 0 a, 0, 102.04, 6 a, 8, 6.20, 2 a, 2, 3.49, 2 a, 6, 8.43, 0 a, 0, 11.14, 0 a, 0, 13.10, 0 a, 0, 24.05, 0 a, 0, 53.76, 8 b, 8, 0.95, 6 a, 8, 0.02, 3 a, 4, 1.86, 2 a, 2, 0.03, 1 a, 2, 2.35, 1 a, 2, 0.04, 1 a, 2, 2.84, 1 a, 4, 0.05, 0 a, 0, 10.39, 0 a, 0, 0.12, 0 a, 0, 42.34, 0 a, 0, 0.25, 0 a, 0, 164.74, 0 a, 0, 0.55, 27 c, 20, wc+rs-3d-c4-obj1.csv
97, 196, 3, 1, 26, 0, 19, 1, 5 a, 9, 214.42, 2 a, 5, 252.74, 1 a, 4, 297.41, 1 a, 4, 272.13, 0 a, 2, 337.64, 0 a, 0, 400.14, 0 a, 0, 504.58, 3 a, 6, 6.28, 1 a, 2, 10.66, 1 a, 1, 15.21, 0 a, 0, 25.00, 0 a, 0, 40.33, 0 a, 0, 87.39, 0 a, 0, 237.14, 8 b, 9, 2199.31, 1 a, 2, 2506.74, 0 a, 1, 3961.61, 0 a, 0, 4332.55, 0 a, 0, 6981.32, 0 a, 0, 13086.85, 0 a, 0, 37944.85, 3 a, 6, 17.77, 1 a, 2, 18.98, 0 a, 0, 34.72, 0 a, 0, 61.19, 0 a, 0, 186.13, 0 a, 0, 372.32, 0 a, 0, 627.08, 9 b, 11, 12.05, 0 a, 0, 11.61, 0 a, 0, 22.11, 0 a, 0, 18.97, 0 a, 0, 37.73, 0 a, 0, 68.96, 0 a, 0, 107.37, 5 a, 6, 9.73, 2 a, 4, 2.79, 1 a, 2, 11.88, 0 a, 0, 11.30, 0 a, 0, 12.60, 0 a, 0, 27.34, 0 a, 0, 48.32, 8 b, 9, 0.96, 6 a, 8, 0.02, 2 a, 3, 1.89, 1 a, 2, 0.03, 1 a, 2, 1.99, 1 a, 1, 0.04, 1 a, 1, 2.79, 1 a, 3, 0.05, 0 a, 0, 10.05, 0 a, 0, 0.11, 0 a, 0, 40.34, 0 a, 0, 0.32, 0 a, 0, 140.71, 0 a, 0, 0.54, 26 c, 19, wc+sol-3d-c4-obj1.csv
90, 398, 4, 3, 56, 17, 16, 21, 38 c, 10, 80.33, 35 b, 8, 117.35, 34 b, 8, 144.44, 34 b, 7, 176.62, 29 b, 7, 218.43, 24 a, 9, 296.76, 19 a, 5, 431.63, 37 c, 5, 10.64, 34 b, 5, 18.45, 32 b, 5, 34.98, 31 b, 4, 44.73, 27 b, 6, 85.13, 22 a, 7, 155.00, 18 a, 4, 361.28, 35 b, 8, 403.14, 31 b, 8, 726.05, 30 b, 7, 858.34, 25 a, 7, 1315.91, 22 a, 7, 2208.03, 19 a, 5, 5840.61, 19 a, 5, 22159.75, 37 c, 5, 34.35, 35 b, 5, 61.25, 30 b, 5, 96.33, 26 b, 6, 127.67, 23 a, 7, 282.54, 21 a, 5, 497.93, 19 a, 5, 938.06, 37 c, 8, 7.98, 24 a, 8, 13.58, 22 a, 6, 17.90, 21 a, 5, 24.30, 18 a, 3, 39.29, 17 a, 1, 71.80, 17 a, 0, 137.33, 32 b, 8, 7.24, 29 b, 6, 9.65, 26 b, 6, 6.11, 24 a, 5, 9.12, 21 a, 5, 11.81, 18 a, 2, 17.49, 17 a, 0, 52.39, 37 c, 8, 1.41, 37 c, 7, 0.03, 29 b, 8, 4.25, 32 b, 7, 0.05, 29 b, 8, 5.94, 29 b, 7, 0.06, 27 b, 7, 7.20, 29 b, 5, 0.18, 23 a, 6, 16.00, 25 a, 6, 0.16, 20 a, 4, 68.64, 21 a, 4, 0.28, 18 a, 3, 150.54, 18 a, 2, 1.15, 56 d, 16, auto93.csv
87, 81, 26, 1, 38, 0, 20, 5, 15 b, 8, 143.77, 14 b, 8, 211.48, 11 a, 9, 211.08, 9 a, 9, 267.60, 6 a, 7, 341.45, 3 a, 4, 594.36, 1 a, 3, 1045.60, 17 b, 6, 25.65, 14 b, 6, 67.43, 11 a, 7, 94.80, 11 a, 7, 153.77, 4 a, 6, 246.55, 1 a, 3, 601.88, 0 a, 2, 1413.76, 20 b, 11, 2001.08, 14 b, 7, 3983.10, 10 a, 6, 5472.79, 7 a, 6, 8117.26, 3 a, 5, 13987.05, 2 a, 4, 20297.69, 1 a, 3, 41996.96, 17 b, 6, 43.09, 14 b, 6, 87.35, 9 a, 7, 210.28, 8 a, 6, 278.08, 3 a, 4, 761.65, 2 a, 4, 1552.25, 0 a, 1, 4771.70, 14 b, 8, 13.20, 11 a, 5, 29.91, 9 a, 4, 50.17, 8 a, 4, 56.91, 1 a, 3, 91.27, 0 a, 0, 127.25, 0 a, 0, 127.57, 17 b, 9, 8.48, 10 a, 4, 9.49, 9 a, 3, 19.61, 7 a, 4, 26.17, 3 a, 3, 63.67, 0 a, 0, 146.32, 0 a, 0, 141.93, 11 a, 6, 2.34, 15 b, 10, 0.02, 9 a, 6, 1.64, 9 a, 6, 0.04, 7 a, 6, 2.17, 7 a, 5, 0.06, 6 a, 5, 3.48, 5 a, 4, 0.07, 3 a, 4, 11.74, 3 a, 4, 0.12, 2 a, 3, 38.94, 3 a, 3, 0.24, 2 a, 3, 133.99, 1 a, 2, 0.53, 38 c, 20, player_statistics_cleaned_final.csv
